day,token_price_usd
2025-07-23,1.00077114
2025-07-24,0.99926840
2025-07-25,0.99169300
2025-07-26,0.99555231
2025-07-27,1.00770869
2025-07-28,0.99608217
2025-07-29,0.99410246
2025-07-30,0.99366981
2025-07-31,0.97660679
2025-08-01,0.95282615
2025-08-02,0.94535076
2025-08-03,0.96308255
2025-08-04,0.97203295
2025-08-05,0.96222289
2025-08-06,0.97380603
2025-08-07,0.99488710
2025-08-08,0.98830684
2025-08-09,0.98681471
2025-08-10,1.00972409
2025-08-11,1.00515911
2025-08-12,1.01542031
2025-08-13,1.03989435
2025-08-14,1.00171089
2025-08-15,0.99371075
2025-08-16,0.99516745
2025-08-17,0.99530797
2025-08-18,0.98523657
2025-08-19,0.95753923
2025-08-20,0.96932549
2025-08-21,0.95412075
2025-08-22,0.99107605
2025-08-23,0.97684872
2025-08-24,0.96225955
2025-08-25,0.93506171
2025-08-26,0.95063541
2025-08-27,0.94554807
2025-08-28,0.95460703
2025-08-29,0.92198001
2025-08-30,0.92422433
2025-08-31,0.92053598
2025-09-01,0.92633384
2025-09-02,0.94326937
2025-09-03,0.94877386
2025-09-04,0.93888786
2025-09-05,0.93926785
2025-09-06,0.93454906
2025-09-07,0.94242497
2025-09-08,0.95139793
2025-09-09,0.94557509
2025-09-10,0.96653252
2025-09-11,0.97780443
2025-09-12,0.98516987
2025-09-13,0.98248580
2025-09-14,0.97900656
2025-09-15,0.97785759
2025-09-16,0.98856011
2025-09-17,0.98897955
2025-09-18,0.99293446
2025-09-19,0.98107555
2025-09-20,0.98313233
2025-09-21,0.97798141
2025-09-22,0.95703327
2025-09-23,0.95162487
2025-09-24,0.96261396
2025-09-25,0.92616510
2025-09-26,0.93068244
2025-09-27,0.93015919
2025-09-28,0.95058323
2025-09-29,0.96822259
2025-09-30,0.96643806
2025-10-01,1.00298915
2025-10-02,1.00446542
2025-10-03,1.02880557
2025-10-04,1.02726099
2025-10-05,1.03379368
2025-10-06,1.04567862
2025-10-07,1.02567317
2025-10-08,1.03521312
2025-10-09,1.02417791
2025-10-10,0.97134798
2025-10-11,0.95094637
2025-10-12,0.98213369
2025-10-13,0.98712714
2025-10-14,0.96902685
2025-10-15,0.94705380
2025-10-16,0.92132657
2025-10-17,0.91158793
2025-10-18,0.91301995
2025-10-19,0.93041864
2025-10-20,0.94576984
2025-10-21,0.93261115
2025-10-22,0.91624566
2025-10-23,0.93930602
2025-10-24,0.94815561
2025-10-25,0.95451971
2025-10-26,0.98139503
2025-10-27,0.97377050
2025-10-28,0.96563569
2025-10-29,0.94615087
2025-10-30,0.91844718
2025-10-31,0.93591165
2025-11-01,0.94101520
2025-11-02,0.94250533
2025-11-03,0.90612817
2025-11-04,0.85671883
2025-11-05,0.88238332
2025-11-06,0.85619923
2025-11-07,0.88067683
2025-11-08,0.86870237
2025-11-09,0.89301164
2025-11-10,0.90543925
2025-11-11,0.87553041
2025-11-12,0.86441648
2025-11-13,0.84658246
2025-11-14,0.78868693
2025-11-15,0.79802216
2025-11-16,0.78407901
2025-11-17,0.76237675
2025-11-18,0.77055529
2025-11-19,0.75636549
2025-11-20,0.72479971
2025-11-21,0.69922112
2025-11-22,0.70205626
2025-11-23,0.72216539
2025-11-24,0.73486034
2025-11-25,0.72621635
2025-11-26,0.74753339
2025-11-27,0.75602117
2025-11-28,0.75259403
2025-11-29,0.74968851
2025-11-30,0.75157943
2025-12-01,0.71333377
2025-12-02,0.75806390
2025-12-03,0.77563089
2025-12-04,0.76372499
2025-12-05,0.73703706
2025-12-06,0.73829708
2025-12-07,0.74170255
2025-12-08,0.75008485
2025-12-09,0.76599477
2025-12-10,0.76242976
2025-12-11,0.76281592
2025-12-12,0.74518587
2025-12-13,0.74379804
2025-12-14,0.72757045
2025-12-15,0.71235920
2025-12-16,0.72349065
2025-12-17,0.71006892
2025-12-18,0.70549204
2025-12-19,0.72801508
2025-12-20,0.72798205
2025-12-21,0.73144926
2025-12-22,0.73131762
2025-12-23,0.72191986
2025-12-24,0.72511849
2025-12-25,0.72401654
2025-12-26,0.72278661
2025-12-27,0.72369058
2025-12-28,0.72484529
2025-12-29,0.72038591
2025-12-30,0.72965980
2025-12-31,0.72331530
2026-01-01,0.73156667
2026-01-02,0.74472995
2026-01-03,0.74847136
2026-01-04,0.75421135
2026-01-05,0.77660496
2026-01-06,0.77153836
2026-01-07,0.75352628
2026-01-08,0.75316641
2026-01-09,0.74753321
2026-01-10,0.74668373
2026-01-11,0.75003741
2026-01-12,0.75183763
2026-01-13,0.78940203
2026-01-14,0.80201661
2026-01-15,0.78827981
2026-01-16,0.78775493
2026-01-17,0.78585631
2026-01-18,0.78519842
